StartTask.started,StartTask.stopped,kbd_start_task.keys,kbd_start_task.rt,kbd_start_task.started,kbd_start_task.stopped,text_top.started,text_top.stopped,text_bottom.started,text_bottom.stopped,card_image.started,card_image.stopped,X Scale,Y Scale,participant,session,date,expName,psychopyVersion,frameRate,
9.331836058059707,None,space,0.5630058490205556,9.331836058059707,None,,,,,,,,,,001,2021_Mar_15_1355,TestWebGazer,2021.1.2,59.82456179254305,
,,,,,,9.915297577506863,None,9.915297577506863,None,9.915297577506863,None,0.05,0.05,,,,,,,
