StartTask.started,StartTask.stopped,kbd_start_task.keys,kbd_start_task.rt,kbd_start_task.started,kbd_start_task.stopped,text_top.started,text_top.stopped,text_bottom.started,text_bottom.stopped,card_image.started,card_image.stopped,X Scale,Y Scale,participant,session,date,expName,psychopyVersion,frameRate,
10.536341285100207,None,space,0.6761685940437019,10.536341285100207,None,,,,,,,,,,001,2021_Mar_15_1348,TestWebGazer,2021.1.2,60.207992399475806,
,,,,,,11.235476702009327,None,11.235476702009327,None,11.235476702009327,None,0.05,0.05,,,,,,,
