StartTask.started,StartTask.stopped,kbd_start_task.keys,kbd_start_task.rt,kbd_start_task.started,kbd_start_task.stopped,text_top.started,text_top.stopped,text_bottom.started,text_bottom.stopped,card_image.started,card_image.stopped,X Scale,Y Scale,participant,session,date,expName,psychopyVersion,frameRate,
10.012215554947034,None,space,3.5160030140541494,10.012215554947034,None,,,,,,,,,,001,2021_Mar_15_1356,TestWebGazer,2021.1.2,59.946770017266964,
,,,,,,13.562433653976768,None,13.562433653976768,None,13.562433653976768,None,0.05,0.05,,,,,,,
